HostCountry,TournamentYear,TournamentID
China,2002,288
Indonesia,2005,289
China,2005,290
Portugal,1987,291
China,1995,292
France,2005,293
Indonesia,2008,294
Poland,2012,295
Argentina,2009,296
Ukraine,2007,297
Poland,2000,298
Ghana,1995,299
Venezuela,1997,300
